n,Insert,Print,Delete,Merge,IndexOf,Clear,Min,Max,HasDuplicates,Select
229,0.0,0.00013962745666503906,0.0,9.973526000976562e-05,0.0,0.0, 0.0,0.0,0.0,0.0
230,0.0,0.00012931346893310547,0.0,0.00013964176177978517,0.0,0.0, 0.0,0.0,0.0,0.0
231,0.0,0.0001495933532714844,0.0,0.00010010957717895507,0.0,0.0, 0.0,0.0,0.0,0.0
232,0.0,0.00014959812164306641,0.0,8.002996444702149e-05,0.0,0.0, 0.0,0.0,0.0,0.0
233,0.0,0.00017365694046020508,9.973049163818359e-06,0.00010008811950683594,0.0,0.0, 0.0,0.0,0.0,0.0
234,0.0,0.00016916275024414062,9.970664978027344e-06,7.978200912475586e-05,0.0,0.0, 0.0,0.0,0.0,0.0
235,0.0,0.00012972354888916016,9.906291961669921e-06,8.975505828857421e-05,0.0,0.0, 0.0,0.0,0.0,0.0
236,0.0,0.00011944770812988281,0.0,8.974313735961915e-05,0.0,0.0, 0.0,0.0,0.0,0.0
237,0.0,0.0001292991638183594,0.0,0.00011006593704223632,0.0,0.0, 0.0,0.0,0.0,0.0
238,0.0,0.00011968612670898438,0.0,0.000139617919921875,0.0,0.0, 0.0,0.0,0.0,0.0
239,0.0,0.00014122962951660157,0.0,9.009122848510742e-05,0.0,0.0, 0.0,0.0,0.0,0.0
240,0.0,0.00019909858703613282,0.0,0.00011966943740844727,0.0,0.0, 0.0,0.0,0.0,0.0
241,0.0,0.00011973142623901367,0.0,8.97073745727539e-05,0.0,0.0, 0.0,0.0,0.0,0.0
242,1.0237693786621093e-05,0.0001605963706970215,0.0,0.0001101088523864746,0.0,0.0, 0.0,0.0,0.0,0.0
243,0.0,0.00012932300567626952,0.0,0.00011961221694946289,0.0,0.0, 0.0,0.0,0.0,0.0
244,0.0,0.00012927532196044923,0.0,9.976387023925781e-05,0.0,0.0, 0.0,0.0,0.0,0.0
